"","O3","NO2","NO","CO","PM10","PM2.5","Temp_Avg","RH_Avg","WSpeed_Avg","WDir_Avg","Rain_Tot","Press_Avg","Rad_Avg"
"O3",1,-0.310592519671462,-0.172071168698882,-0.243170899738131,0.297910011982921,0.223140666210156,0.744873308569908,-0.760387652122034,0.460295316891644,0.236160708594442,0.0041951974190345,-0.220261050631337,0.483039621138275
"NO2",-0.310592519671462,1,0.56028707560437,0.545623251092819,0.164411227903124,0.0673927096815077,-0.317114687077118,0.247518022265656,-0.327410937932837,-0.232920398082999,-0.0210291037012599,0.365462825258494,-0.133492102594043
"NO",-0.172071168698882,0.56028707560437,1,0.319017715629615,0.0584950235353317,-0.019903564642873,-0.114974502345159,0.10011650231952,-0.098881535664492,-0.0997361646403443,-0.0102599506601019,0.184893562858367,-0.0619350344412818
"CO",-0.243170899738131,0.545623251092819,0.319017715629615,1,0.332298984040313,0.248491362070464,-0.329929895928469,0.113626466083751,-0.271364807779593,-0.145592668663448,-0.0257336118529737,0.213690595808923,-0.130682929656629
"PM10",0.297910011982921,0.164411227903124,0.0584950235353317,0.332298984040313,1,0.597830439898969,0.264261963035571,-0.354178164002133,0.069416282592888,0.059992460161001,-0.00957793475402004,-0.0736786676096464,0.0225824253393792
"PM2.5",0.223140666210156,0.0673927096815077,-0.019903564642873,0.248491362070464,0.597830439898969,1,0.178912459717346,-0.179863310411072,0.00901628304821872,0.0580208613387352,-0.000252087552443773,-0.0811866722190781,-0.0110639778737552
"Temp_Avg",0.744873308569908,-0.317114687077118,-0.114974502345159,-0.329929895928469,0.264261963035571,0.178912459717346,1,-0.72252570187398,0.527137564284619,0.265695456210083,-0.0205650195666993,-0.377072162735644,0.450358755415046
"RH_Avg",-0.760387652122034,0.247518022265656,0.10011650231952,0.113626466083751,-0.354178164002133,-0.179863310411072,-0.72252570187398,1,-0.504606404602285,-0.247631571725565,0.0609472441422703,0.353536929269133,-0.482841311960824
"WSpeed_Avg",0.460295316891644,-0.327410937932837,-0.098881535664492,-0.271364807779593,0.069416282592888,0.00901628304821872,0.527137564284619,-0.504606404602285,1,0.360088638602293,0.0610102672809099,-0.351607001536055,0.167061889544884
"WDir_Avg",0.236160708594442,-0.232920398082999,-0.0997361646403443,-0.145592668663448,0.059992460161001,0.0580208613387352,0.265695456210083,-0.247631571725565,0.360088638602293,1,0.00911890560247841,-0.201116682472926,0.0425397225128576
"Rain_Tot",0.0041951974190345,-0.0210291037012599,-0.0102599506601019,-0.0257336118529737,-0.00957793475402004,-0.000252087552443773,-0.0205650195666993,0.0609472441422703,0.0610102672809099,0.00911890560247841,1,0.0211016884073175,-0.0621132173102235
"Press_Avg",-0.220261050631337,0.365462825258494,0.184893562858367,0.213690595808923,-0.0736786676096464,-0.0811866722190781,-0.377072162735644,0.353536929269133,-0.351607001536055,-0.201116682472926,0.0211016884073175,1,0.058918169070882
"Rad_Avg",0.483039621138275,-0.133492102594043,-0.0619350344412818,-0.130682929656629,0.0225824253393792,-0.0110639778737552,0.450358755415046,-0.482841311960824,0.167061889544884,0.0425397225128576,-0.0621132173102235,0.058918169070882,1
