PM2.5,Rain_Tot
41.23072916666667,0.2
33.46542361111111,0.3
43.09247222222223,0.1
24.9281875,0.2
24.0875,0.7000000000000001
32.778125,2.3
35.881750000000004,15.8
27.766715277777777,8.5
24.89447916666667,0.1
28.169472222222225,10.2
10.867485835694051,3.2
10.753037088873338,1.2000000000000002
18.921701388888888,3.6
5.942477272727272,15.7
12.077236111111112,2.2
19.053472222222226,0.1
15.980583333333334,0.8
24.099756944444444,2.7
7.042463126843658,3.8
14.708340277777776,11.3
9.916128133704737,2.6
9.13378296910324,5.5
12.791770538243624,1.4
17.623270440251574,7.4
19.169840277777777,21.6
14.19758524704245,0.3
16.899270833333333,0.3
17.149083333333333,4.5
9.571792656587473,9.0
12.392618542108988,8.1
9.610830815709967,7.800000000000001
15.211196275071634,2.2
13.948055555555555,0.9
13.27214899713467,5.6000000000000005
10.96979870596693,11.0
11.183790504898266,0.9
8.106198529411765,6.5
9.139903774981496,26.7
5.871285604311009,0.1
13.416274228284278,0.9
11.278199018920812,0.1
16.13885416666667,3.2
11.4226875,6.800000000000001
13.474909722222222,7.9
13.78492693110647,10.7
6.582402148887184,4.7
8.370327868852458,0.6000000000000001
10.468237853517042,1.4
16.77398611111111,0.6000000000000001
17.285793871866296,2.5
16.58465083798883,1.9
10.690127208480568,0.3
22.05616944243302,41.7
15.859378571428572,19.0
27.06374651810585,2.0
22.93517361111111,1.1
11.196615276804485,5.800000000000001
11.241083333333334,7.6
11.577607726597323,4.1000000000000005
15.447111111111113,0.5
21.33325,11.1
16.367916666666666,5.9
12.572868055555556,0.9
21.02782638888889,2.1
17.620637845499648,8.0
11.69357601713062,3.0
13.800770833333331,4.1000000000000005
7.3487263078089455,2.0
6.167718120805369,0.1
6.960553129548762,10.8
4.678225399495374,2.8000000000000003
4.305268214571657,6.4
18.876507823613085,0.4
15.036472222222224,0.2
19.30791231732777,8.8
23.4727498121713,1.9
11.7565579984837,4.7
22.29354006968641,6.6
13.344666188083274,4.3
6.60339546191248,10.3
7.197110125646711,0.5
8.6925,1.6
20.22097902097902,5.1
12.322805555555556,0.2
19.961328671328676,0.3
4.87543062200957,5.9
22.494771609276174,0.9
12.857328966521107,0.1
13.203603667136813,11.8
5.726111524163569,8.3
28.205861111111112,0.6000000000000001
