Month,Day,PM2.5
5,1,20.131194444444443
5,2,18.76564880112835
5,3,35.02185416666667
5,4,35.872395833333336
5,5,41.23072916666667
5,6,36.007222222222225
5,7,40.22398611111111
5,8,34.79241666666667
5,9,33.46542361111111
5,10,43.09247222222223
5,11,27.280881944444445
5,12,35.01194278903456
5,16,19.962352941176476
5,17,22.253416666666663
5,18,28.43027777777778
5,19,24.9281875
5,20,25.96834722222222
5,21,24.0875
5,22,32.778125
5,23,35.881750000000004
5,24,32.96024305555556
5,25,36.08890183028287
6,1,26.43586805555556
6,2,36.33820138888889
6,3,32.5265625
6,4,31.14838888888889
6,5,23.4797625698324
6,6,27.766715277777777
6,7,24.89447916666667
6,8,25.166666666666668
6,9,22.1125625
6,10,24.971256944444445
6,11,22.40928472222222
6,12,23.444798611111118
6,13,21.311569444444444
6,14,27.12607638888889
6,15,23.512993055555555
6,16,28.2880625
6,17,27.700333333333337
6,18,26.18715277777778
6,19,23.634659722222224
6,20,24.541909722222226
6,21,28.169472222222225
6,22,27.922875
6,23,22.424229166666667
6,24,21.409506944444445
6,25,14.226140602582497
6,26,10.867485835694051
6,27,10.753037088873338
6,28,18.921701388888888
6,29,26.57939226519337
7,1,5.942477272727272
7,2,9.884389367816093
7,3,12.077236111111112
7,4,19.053472222222226
7,5,15.980583333333334
7,6,24.099756944444444
7,7,7.042463126843658
7,8,12.116095100864554
7,9,14.708340277777776
7,10,9.916128133704737
7,11,9.13378296910324
7,12,12.791770538243624
7,13,13.737154929577464
7,14,10.882787834902244
7,15,12.572006944444444
7,16,18.44807638888889
7,17,17.623270440251574
7,18,19.169840277777777
7,19,16.273569444444444
7,20,14.19758524704245
7,21,16.899270833333333
7,22,17.149083333333333
7,23,9.571792656587473
7,24,12.392618542108988
7,25,9.610830815709967
7,26,15.211196275071634
7,27,13.948055555555555
7,28,15.055052950075645
8,1,13.27214899713467
8,2,10.96979870596693
8,3,11.183790504898266
8,4,8.106198529411765
8,5,9.139903774981496
8,6,5.871285604311009
8,7,8.806136183689627
8,8,10.528886524822695
8,9,13.416274228284278
8,10,11.278199018920812
8,11,16.13885416666667
8,12,11.4226875
8,13,13.474909722222222
8,14,13.78492693110647
8,15,12.568516949152542
8,16,11.54313464235624
8,17,6.582402148887184
8,18,8.370327868852458
8,19,10.468237853517042
8,20,16.77398611111111
8,21,17.285793871866296
8,22,16.58465083798883
8,23,10.690127208480568
8,24,9.34470839260313
8,25,13.02102384291725
8,26,18.510293501048217
8,27,18.154655532359083
8,28,19.826698389458272
8,29,22.05616944243302
9,1,15.859378571428572
9,2,27.06374651810585
9,3,22.93517361111111
9,4,11.196615276804485
9,5,11.241083333333334
9,6,11.577607726597323
9,7,15.447111111111113
9,8,19.92167375886525
9,9,13.914609483960948
9,10,10.62239298245614
9,11,10.811277777777777
9,12,13.898977746870653
9,13,20.498560393258423
9,14,20.62346527777778
9,15,21.33325
9,16,16.367916666666666
9,17,12.572868055555556
9,18,21.02782638888889
9,19,15.59621338912134
9,20,14.486578581363004
9,21,16.79099512874043
9,22,23.50427777777778
4,1,35.08686805555556
4,2,29.92607638888889
4,3,20.034909722222224
4,4,21.28421527777778
4,5,17.525937499999998
4,6,13.254765897973446
4,7,24.1066875
4,8,24.65375694444445
4,9,30.880458333333333
4,10,18.45639583333333
4,11,20.002097222222226
4,12,20.98001388888889
4,13,27.778402777777774
4,14,33.635618055555554
4,15,32.68034027777778
4,16,28.23079861111111
4,17,23.743972222222222
4,18,26.17253472222222
4,19,31.09133333333333
4,20,28.983354166666665
4,21,25.455486111111117
4,22,28.205861111111112
4,23,29.806513888888887
4,24,29.419916666666666
4,25,32.80468055555556
4,26,30.99170138888889
4,27,29.36359777313848
4,28,26.982951388888885
4,29,26.147900552486192
