"","Year","Month","Day","O3","NO2","NO","CO","PM10","PM2.5","Temp_Avg","RH_Avg","WSpeed_Avg","WDir_Avg","Press_Avg","Rad_Avg","Rain_Tot"
"Year",1,-0.817988825515035,-0.0603259688976732,0.151006640350928,-0.163262952458877,-0.101565633448073,0.332054774245014,0.207636467624907,0.023996816397876,-0.151697249575147,-0.580512690356486,0.287536316779897,0.282275351490312,-0.0911323698444484,0.27230964154458,-0.199529483613536
"Month",-0.817988825515035,1,0.053073575324308,-0.343180052196862,0.306458843840393,0.294894712710764,-0.130918657457291,-0.314636415445326,-0.171839726338119,-0.133114235797474,0.627887690751693,-0.402036813298576,-0.433405720635739,0.118878406850305,-0.292758556895432,0.124351993871803
"Day",-0.0603259688976732,0.053073575324308,1,-0.0398585031789198,0.161222066079214,0.148506174669719,0.110438900503598,0.0420231127738422,0.0857663533970295,-0.0546139225575048,0.110806952273749,-0.290160695895553,-0.196054329835752,0.0649348365983178,-0.0724861928471103,-0.0080415704262613
"O3",0.151006640350928,-0.343180052196862,-0.0398585031789198,1,-0.183931793009655,-0.38075804078333,-0.000859999667418765,0.664405210517929,0.595012275045267,0.620364012144292,-0.681170688384909,0.304653143576354,0.303202163607022,-0.00607988644692875,0.490245767409272,-0.103083712545407
"NO2",-0.163262952458877,0.306458843840393,0.161222066079214,-0.183931793009655,1,0.664496885631094,0.395781853253409,0.0194161453566616,-0.0125549146293516,-0.417361975022122,0.259644327963752,-0.506766001587663,-0.535062700541192,0.374330630849671,-0.264396363767217,-0.0220340272884317
"NO",-0.101565633448073,0.294894712710764,0.148506174669719,-0.38075804078333,0.664496885631094,1,0.29890412845484,-0.139387958038086,-0.152564269239917,-0.365960962354511,0.2922918132601,-0.415529174598912,-0.398673830787498,0.225615179042603,-0.178497757734694,-0.0565244969020235
"CO",0.332054774245014,-0.130918657457291,0.110438900503598,-0.000859999667418765,0.395781853253409,0.29890412845484,1,0.376560203164459,0.281671268656963,-0.248751743795735,-0.194646407819011,-0.163536286980443,-0.110239882621869,0.0391334765882943,-0.0178327922416402,-0.104837811755598
"PM10",0.207636467624907,-0.314636415445326,0.0420231127738422,0.664405210517929,0.0194161453566616,-0.139387958038086,0.376560203164459,1,0.895431508833252,0.542034655530107,-0.666096826336168,0.163727679804623,0.284939938139899,-0.166198905978967,0.314123437009648,-0.209140419858357
"PM2.5",0.023996816397876,-0.171839726338119,0.0857663533970295,0.595012275045267,-0.0125549146293516,-0.152564269239917,0.281671268656963,0.895431508833252,1,0.547216950238448,-0.476088889831115,0.0877380622074852,0.265679194124683,-0.179968458146103,0.204328073297727,-0.0993587387181463
"Temp_Avg",-0.151697249575147,-0.133114235797474,-0.0546139225575048,0.620364012144292,-0.417361975022122,-0.365960962354511,-0.248751743795735,0.542034655530107,0.547216950238448,1,-0.434583432232445,0.310755179203141,0.383131010216488,-0.197311796457452,0.414624259406267,0.00448877546761879
"RH_Avg",-0.580512690356486,0.627887690751693,0.110806952273749,-0.681170688384909,0.259644327963752,0.2922918132601,-0.194646407819011,-0.666096826336168,-0.476088889831115,-0.434583432232445,1,-0.494224982947738,-0.433808645585759,0.232031046257846,-0.593779625523243,0.32875247182104
"WSpeed_Avg",0.287536316779897,-0.402036813298576,-0.290160695895553,0.304653143576354,-0.506766001587663,-0.415529174598912,-0.163536286980443,0.163727679804623,0.0877380622074852,0.310755179203141,-0.494224982947738,1,0.511058907918341,-0.310751332185864,0.293542530091712,-0.123232085872758
"WDir_Avg",0.282275351490312,-0.433405720635739,-0.196054329835752,0.303202163607022,-0.535062700541192,-0.398673830787498,-0.110239882621869,0.284939938139899,0.265679194124683,0.383131010216488,-0.433808645585759,0.511058907918341,1,-0.353417944938182,0.237521085440405,-0.0163880086628244
"Press_Avg",-0.0911323698444484,0.118878406850305,0.0649348365983178,-0.00607988644692875,0.374330630849671,0.225615179042603,0.0391334765882943,-0.166198905978967,-0.179968458146103,-0.197311796457452,0.232031046257846,-0.310751332185864,-0.353417944938182,1,-0.179959088015077,0.078763632662171
"Rad_Avg",0.27230964154458,-0.292758556895432,-0.0724861928471103,0.490245767409272,-0.264396363767217,-0.178497757734694,-0.0178327922416402,0.314123437009648,0.204328073297727,0.414624259406267,-0.593779625523243,0.293542530091712,0.237521085440405,-0.179959088015077,1,-0.286765605050978
"Rain_Tot",-0.199529483613536,0.124351993871803,-0.0080415704262613,-0.103083712545407,-0.0220340272884317,-0.0565244969020235,-0.104837811755598,-0.209140419858357,-0.0993587387181463,0.00448877546761879,0.32875247182104,-0.123232085872758,-0.0163880086628244,0.078763632662171,-0.286765605050978,1
